FIRST_NAME,LAST_NAME,AGE,SEX,INCOME,CONTACT,ID,EMAIL,PHONE,CITY
Ramya,Rama Priya,27,F,9000.0,101,101,Krishna@mymail.com,,Hyderabad
Vinay,Bhattacharya,20,M,6000.0,102,102,Raja@mymail.com,,Vishakhapatnam
Sharukh,Sheik,25,M,8300.0,103,103,Krishna@mymail.com,,Pune
Sarmista,Sharma,26,F,10000.0,104,104,Raja@mymail.com,,Mumbai
Sl.no,empno,ename,job,mgr,hiredate,sal,comm,deptno
0,7369,SMITH,CLERK,7902,17-12-1980,800,,20
1,7499,ALLEN,SALESMAN,7698,20-02-1981,1600,300,30
2,7521,WARD,SALESMAN,7698,22-02-1981,1250,500,30
3,7566,JONES,MANAGER,7839,02-04-1981,2975,,20
4,7654,MARTIN,SALESMAN,7698,28-09-1981,1250,1400,30
5,7698,BLAKE,MANAGER,7839,01-05-1981,2850,,30
6,7782,CLARK,MANAGER,7839,09-06-1981,2450,,10
7,7788,SCOTT,ANALYST,7566,09-12-1982,3000,,20
8,7839,KING,PRESIDENT,,17-11-1981,5000,,10
9,7844,TURNER,SALESMAN,7698,08-09-1981,1500,0,30
10,7876,ADAMS,CLERK,7788,12-01-1983,1100,,20
11,7900,JAMES,CLERK,7698,03-12-1981,950,,30
12,7902,FORD,ANALYST,7566,03-12-1981,3000,,20
13,7934,MILLER,CLERK,7782,23-01-1982,1300,,10
14,7369,SMITH,CLERK,7902,17-12-1980,800,,20
15,7499,ALLEN,SALESMAN,7698,20-02-1981,1600,300,30
16,7521,WARD,SALESMAN,7698,22-02-1981,1250,500,30
17,7566,JONES,MANAGER,7839,02-04-1981,2975,,20
18,7654,MARTIN,SALESMAN,7698,28-09-1981,1250,1400,30
19,7698,BLAKE,MANAGER,7839,01-05-1981,2850,,30
20,7782,CLARK,MANAGER,7839,09-06-1981,2450,,10
21,7788,SCOTT,ANALYST,7566,09-12-1982,3000,,20
22,7839,KING,PRESIDENT,,17-11-1981,5000,,10
23,7844,TURNER,SALESMAN,7698,08-09-1981,1500,0,30
24,7876,ADAMS,CLERK,7788,12-01-1983,1100,,20
25,7900,JAMES,CLERK,7698,03-12-1981,950,,30
26,7902,FORD,ANALYST,7566,03-12-1981,3000,,20
27,7934,MILLER,CLERK,7782,23-01-1982,1300,,10
